# magma_version=2.29-7
# os=Ubuntu 24.04.4 LTS
# memory_gb=192
# hostname=b423dc6346fe
# cpu=13th Gen Intel(R) Core(TM) i9-13900KS
# pinned_cores=4,5;6,7;8,9;10,11;12,13;14,15
# workers=6
# fallback_budget=3600
# date=2026-05-27T12:53:48-04:00
label	D	alg	walltime_seconds	peak_memory_mb	status
2.101.[ 10201, -2323, 326, -23, 1 ]	36	IsogenyGraphBuilder	0.340	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	36	Polarization	0.480	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	100	IsogenyOrbitBuilder	0.080	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	100	IsogenyGraphBuilder	0.220	32.0937500000000000000000000000	ok
2.101.[ 10201, -2323, 326, -23, 1 ]	100	Polarization	0.400	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	4	IsogenyOrbitBuilder	0.110	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	4	IsogenyGraphBuilder	0.440	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	4	Polarization	1.060	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	9	IsogenyOrbitBuilder	0.050	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	9	IsogenyGraphBuilder	0.050	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	9	Polarization	0.740	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	12	IsogenyOrbitBuilder	0.100	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	12	IsogenyGraphBuilder	0.440	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	12	Polarization	1.080	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	36	IsogenyOrbitBuilder	0.080	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	36	IsogenyGraphBuilder	0.380	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	36	Polarization	1.020	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	100	IsogenyOrbitBuilder	0.130	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	100	IsogenyGraphBuilder	0.760	32.0937500000000000000000000000	ok
2.101.[ 10201, -1010, 36, -10, 1 ]	100	Polarization	1.530	32.0937500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	4	IsogenyOrbitBuilder	1.670	32.0937500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	4	IsogenyGraphBuilder	23.840	86.5625000000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	4	Polarization	62.090	178.812500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	9	IsogenyOrbitBuilder	0.330	32.0937500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	9	IsogenyGraphBuilder	0.300	32.0937500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	9	Polarization	29.670	125.656250000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	12	IsogenyOrbitBuilder	1.490	32.0937500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	12	IsogenyGraphBuilder	31.090	86.5625000000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	12	Polarization	68.220	150.125000000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	36	IsogenyOrbitBuilder	1.500	32.0937500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	36	IsogenyGraphBuilder	28.170	86.5625000000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	36	Polarization	58.980	178.812500000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	100	IsogenyOrbitBuilder	106.580	336.875000000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	100	IsogenyGraphBuilder	193.320	278.593750000000000000000000000	ok
2.101.[ 10201, 1010, 102, 10, 1 ]	100	Polarization	491.960	384.093750000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	4	IsogenyOrbitBuilder	7.500	32.0937500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	4	IsogenyGraphBuilder	1764.510	290.437500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	4	Polarization	2348.460	497.375000000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	9	IsogenyOrbitBuilder	0.110	32.0937500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	9	IsogenyGraphBuilder	0.100	32.0937500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	9	Polarization	583.160	342.312500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	12	IsogenyOrbitBuilder	7.480	32.0937500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	12	IsogenyGraphBuilder	1773.620	293.781250000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	12	Polarization	2348.550	497.375000000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	36	IsogenyOrbitBuilder	7.480	32.0937500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	36	IsogenyGraphBuilder	1775.490	293.781250000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	36	Polarization	2350.670	497.375000000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	100	IsogenyOrbitBuilder	23.170	32.0937500000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	100	IsogenyGraphBuilder	2023.510	342.656250000000000000000000000	ok
3.16.[ 4096, -512, 32, -27, 2, -2, 1 ]	100	Polarization	2653.520	659.281250000000000000000000000	ok
